acida	[Methyloacida]
monas	"Sedimentimonas"
monas	Sediminimonas
monas	Selenomonas
monas	Sellimonas
monas	Serpentinimonas
monas	"Candidatus Serpentinomonas"
monas	Silanimonas
monas	Silicimonas
monas	Silvimonas
monas	Singularimonas
monas	Sinomonas
monas	Solimonas
monas	Sphingomonas
monas	Spongiimonas
monas	Stagnimonas
monas	Stenotrophomonas
monas	Stutzerimonas
monas	Succinatimonas
monas	Succinimonas
monas	[Sulfomonas]
monas	"Candidatus Sulfotelmatomonas"
monas	Sulfurimonas
monas	"Candidatus Sulfuritelmatomonas" corrig.
monas	Syntrophomonas
monas	Tepidimonas
monas	Terrimonas
monas	Thalassomonas
monas	Thermanaeromonas
monas	Thermaurantimonas
monas	Thermodesulfitimonas
monas	Thermogymnomonas
monas	Thermomonas
monas	Thermosulfurimonas
monas	Thiobacimonas
monas	Thiohalomonas
monas	Thiomonas
monas	Thiosulfatimonas
monas	Tolumonas
monas	Tranquillimonas
monas	"Trichloromonas"
monas	Tropicimonas
monas	Tunicatimonas
monas	Turicimonas
monas	Ventosimonas
monas	Vescimonas
monas	Vibrionimonas
monas	Vitreimonas
monas	Wohlfahrtiimonas
monas	Xanthomonas
monas	Xylanimonas
monas	Youngimonas
monas	Zeimonas
monas	Zymomonas
musa	Anaeromusa
musa	Anaerosporomusa
musa	Desulfomusa
musa	"Desulfosporomusa"
musa	Desulfuromusa
musa	Methylomusa
musa	Sporomusa
mycolata	Amycolata
nix	Herbinix
nutrix	Lacinutrix
odora	Chalarodora
oscilla	Hormoscilla
oscilla	Microscilla
oscilla	Vitreoscilla
pedia	Coccopedia
pedia	Lampropedia
pedia	Merismopedia
pedia	Tetrapedia
pedia	Thiopedia
peptonella	Halopeptonella
pexia	"Cyclospexia"
-phila (phila)	Bilophila
-phila (phila)	Chlamydophila
-phila (phila)	"Candidatus Lumbricidiphila" corrig.
-phila (phila)	"Candidatus Lumbricidophila"
-phila (phila)	"Candidatus Planktophila"
-phila (phila)	Thalpophila
-phora (phora)	Corynephora
-phora (phora)	Cyanophora
-phora (phora)	"Trichophora"
pila	Acidipila
pila	Aminipila
pila	Desulfopila
pila	Fastidiosipila
pila	Methylopila
pila	Rhodopila
pilula	"Candidatus Thiopilula"
pirus	Planctopirus
plana	"Chloroplana"
plana	Mycoplana
pluma	Aquipluma
pruina	Micropruina
pulchritudo	Oceanipulchritudo
regula	Desulforegula
regula	Methanoregula
restis	"Candidatus Aquirestis"
restis	Heliorestis
restis	Spirirestis
rosa	"Gemmatirosa"
rosaria	[Rosaria]
rosula	Methylorosula
rufa	Aquirufa
saeta	Methanosaeta
saeta	Salisaeta
saeta	Vulcanisaeta
sagittula	Sagittula
salina	"Desulfosalina"
salina	"Candidatus Nanosalina"
sapientia	Sapientia
sarcina	Acidisarcina
sarcina	Cyanosarcina
sarcina	Foliisarcina
sarcina	Halosarcina
sarcina	Methanosarcina
sarcina	Methylosarcina
sarcina	Myxosarcina
sarcina	[Planosarcina]
sarcina	Sarcina
sarcina	"Zymosarcina"
serpentilla	Oceaniserpentilla
serpula	Serpula
sphaerula	Methanosphaerula
sphaerula	Planosphaerula
spica	Actinospica
spina	Halospina
spina	Nitrospina
spongia	"Candidatus Nitrosospongia"
stella	Halostella
stella	"Ristella"
stella	Stella
stilla	Rosistilla
stilla	Thermostilla
sudis	Desulfosudis
sulfurella	Desulfurella
symbiota	"Candidatus Halectosymbiota" corrig.
taenia	Anaerotaenia
talea	Actinotalea
talea	"Albitalea"
talea	Algitalea
talea	Alkalitalea
talea	Anaerotalea
talea	"Anditalea"
talea	Aquaticitalea
talea	Aquitalea
talea	Arenitalea
talea	Arsenicitalea
talea	Aureitalea
talea	Brevitalea
talea	Chryseotalea
talea	Citreitalea
talea	"Coraliitalea"
talea	Crenotalea
talea	Croceitalea
talea	Defluviitalea
talea	Desulfatitalea
talea	Desulfotalea
talea	Faecalitalea
talea	Flavitalea
talea	Fulvitalea
talea	Galbitalea
talea	Geotalea
talea	Halotalea
talea	Humitalea
talea	Hydrotalea
talea	Lachnotalea
talea	"Longitalea"
talea	Luteitalea
talea	Mangrovitalea
talea	"Marinitalea"
talea	Marisediminitalea
talea	Maritalea
talea	Mobilitalea
talea	Mongoliitalea
talea	Natronotalea
talea	Neptunitalea
talea	Nitritalea
talea	"Candidatus Nitrosotalea"
talea	Niveitalea
talea	Oceanitalea
talea	Pacificitalea
talea	"Pelagitalea"
talea	Pelotalea
talea	Persicitalea
talea	Planktotalea
talea	Robiginitalea
talea	Roseitalea
talea	Rubritalea
talea	Sandarakinotalea
talea	Sedimentitalea
talea	Solitalea
talea	"Spongitalea"
talea	Sporotalea
talea	Sulfuritalea
talea	Syntrophotalea
talea	Thalassotalea
talea	Thermotalea
talea	Vallitalea
tenera	Methylotenera
tepida	Rubritepida
theca	Cyanotheca
theca	"Candidatus Nitrotheca"
toga	Athalassotoga
toga	Defluviitoga
toga	Geotoga
toga	Kosmotoga
toga	Marinitoga
toga	Mesoaciditoga
toga	Mesotoga
