acinum	Desulfacinum
bium	Desulfohalobium
bium	Facilibium
bium	Halanaerobium corrig.
bium	Halobium
bium	Methanohalobium
bium	Methylibium
bium	Oceanibium
bium	Parvibium
bium	Pelobium
bium	Psychrobium
bium	Rhabdanaerobium
bium	Rhizobium
bium	Rhodobium
bium	Roseibium
bium	Sarcobium
bium	Sphingobium
bium	Stenotrophobium
bium	Sulfurihydrogenibium
bium	Thermoanaerobium
bium	Thermodesulfobium
bonum	Candidatus Halobonum
brachium	Carboxydibrachium corrig.
brachium	Carboxydobrachium
brachium	Thermobrachium
butyricum	Anaerobutyricum
caldum	Methylocaldum
castrum	Symplocastrum
cavum	Sphaerocavum
chitinum	Amantichitinum
cicer	Desulfocicer
citreum	Roseicitreum
-clasticum (clasticum)	Proteiniclasticum
-clasticum (clasticum)	Succiniclasticum
clastidium	Clastidium
coccum	Cryptococcum
coccum	Hydroepicoccum
colon	Diplocolon
convexum	Desulfoconvexum
corpusculum	Methanocorpusculum
corpusculum	Methylicorpusculum
crispum	Actinocrispum
crispum	Thermocrispum
curvum	Candidatus Syntrophocurvum
curvum	Sulfuricurvum
farcimen	Desulfofarcimen
fastidiosum	Candidatus Methanofastidiosum
filamentum	Acetofilamentum
filum	"Candidatus Brevifilum" corrig.
filum	"Candidatus Promineifilum" corrig.
filum	Affixifilum
filum	Anaerofilum
filum	Candidatus Armantifilum
filum	Candidatus Brevefilum
filum	Candidatus Chloranaerofilum
filum	Candidatus Defluviifilum
filum	Candidatus Promineofilum
filum	Constrictifilum
filum	Croceifilum
filum	Crustifilum
filum	Desertifilum
filum	Geofilum
filum	Halofilum
filum	Infirmifilum
filum	Marinifilum
filum	Marinithermofilum
filum	Mobilifilum
filum	Paludifilum
filum	Parifilum
filum	Partitiofilum
filum	Perforafilum
filum	Planifilum
filum	Primaevifilum
filum	Roseofilum
filum	Salinifilum
filum	Tenuifilum
filum	Thermofilum
filum	Thermoflavifilum
filum	Thiofilum
filum	Tigrinifilum
filum	Toxifilum
filum	Vermifilum
flexile	Mariniflexile
flexum	Aquiflexum
frigus	Desulfofrigus
gastrum	Cyanogastrum
-genium (genium)	"Ketogulonicigenium" corrig.
-genium (genium)	Acetogenium
-genium (genium)	Ferrigenium
-genium (genium)	Lacticigenium
-genium (genium)	Metallogenium
-genium (genium)	Methanogenium
-genium (genium)	Propionigenium
-genium (genium)	Sporacetigenium
-genium (genium)	Thermacetogenium
-genium (genium)	Thermohydrogenium
geometricum	Halogeometricum
glomus	Dictyoglomus
