acinum	Desulfacinum
baculum	Halanaerobaculum
baculum	Halobaculum
baculum	Hydrogenobaculum
baculum	Intestinibaculum
baculum	Isobaculum
baculum	Keratinibaculum
baculum	Labilibaculum
baculum	Lachnoanaerobaculum
baculum	Limibaculum
baculum	Limnobaculum
baculum	Litoribaculum
baculum	Longibaculum
baculum	Luteibaculum
baculum	Lutibaculum
baculum	Maribaculum
baculum	Marinibaculum
baculum	Mesobaculum
baculum	Microbaculum
baculum	Muribaculum
baculum	Natranaerobaculum
baculum	Natrarchaeobaculum
baculum	Natribaculum
baculum	"Neoactinobaculum"
baculum	Oceanibaculum
baculum	Oribaculum
baculum	Paludibaculum
baculum	Parvibaculum
baculum	Pelagibaculum
baculum	Pyrobaculum
baculum	Rhodobaculum
baculum	Salibaculum
baculum	Salinibaculum
baculum	Solibaculum
baculum	Stomatobaculum
baculum	Tenacibaculum
baculum	Tepidibaculum
baculum	Thalassobaculum
baculum	Thermoanaerobaculum
baculum	"Thermobaculum"
baculum	"Thermohalobaculum"
baculum	Varibaculum
baculum	"Candidatus Vestibaculum"
balnearium	Balnearium
bium	Acetoanaerobium
bium	Acetohalobium
bium	Anaerobium
bium	Aquibium
bium	Atopobium
bium	Chlorobium
bium	Cyanobium
bium	Desulfohalobium
bium	Facilibium
bium	Halanaerobium corrig.
bium	Halobium
bium	Methanohalobium
bium	Methylibium
bium	"Candidatus Nanohalobium"
bium	"Candidatus Nitrobium"
bium	Oceanibium
bium	Parvibium
bium	Pelobium
bium	Psychrobium
bium	Rhabdanaerobium
bium	Rhizobium
bium	Rhodobium
bium	Roseibium
bium	Sarcobium
bium	Sphingobium
bium	Stenotrophobium
bium	"Candidatus Sulfobium"
bium	Sulfurihydrogenibium
bium	Thermoanaerobium
bium	Thermodesulfobium
bium	"Candidatus Thiosymbium" corrig.
bium	"Candidatus Xenobium"
bonum	"Candidatus Halobonum"
brachium	Carboxydibrachium corrig.
brachium	Carboxydobrachium
brachium	Thermobrachium
butyricum	Anaerobutyricum
caldum	Methylocaldum
castrum	Symplocastrum
cavum	Sphaerocavum
chitinum	Amantichitinum
cicer	Desulfocicer
citreum	Roseicitreum
-clasticum (clasticum)	Proteiniclasticum
-clasticum (clasticum)	Succiniclasticum
clastidium	Clastidium
coccum	Cryptococcum
coccum	Hydroepicoccum
colon	Diplocolon
convexum	Desulfoconvexum
corpusculum	Methanocorpusculum
corpusculum	Methylicorpusculum
crispum	Actinocrispum
crispum	Thermocrispum
curvum	Sulfuricurvum
curvum	"Candidatus Syntrophocurvum"
farcimen	Desulfofarcimen
fastidiosum	"Candidatus Methanofastidiosum"
filamentum	Acetofilamentum
filum	Affixifilum
filum	Anaerofilum
filum	"Candidatus Armantifilum"
filum	"Candidatus Brevefilum"
filum	"Candidatus Brevifilum" corrig.
filum	"Candidatus Chloranaerofilum"
filum	Constrictifilum
filum	Croceifilum
filum	Crustifilum
filum	"Candidatus Defluviifilum"
filum	Desertifilum
filum	Geofilum
filum	Halofilum
filum	"Infirmifilum"
filum	Marinifilum
filum	Marinithermofilum
filum	"Mobilifilum"
filum	Paludifilum
filum	Parifilum
filum	Partitiofilum
filum	Perforafilum
filum	Planifilum
filum	"Primaevifilum"
filum	"Candidatus Promineifilum" corrig.
filum	"Candidatus Promineofilum"
filum	Roseofilum
filum	Salinifilum
filum	Tenuifilum
filum	Thermofilum
filum	Thermoflavifilum
filum	Thiofilum
filum	Tigrinifilum
filum	Toxifilum
filum	Vermifilum
flexile	Mariniflexile
flexum	Aquiflexum
frigus	Desulfofrigus
gastrum	Cyanogastrum
-genium (genium)	Acetogenium
-genium (genium)	Ferrigenium
-genium (genium)	"Ketogulonicigenium" corrig.
-genium (genium)	Lacticigenium
-genium (genium)	"Metallogenium"
-genium (genium)	Methanogenium
-genium (genium)	Propionigenium
-genium (genium)	Sporacetigenium
-genium (genium)	Thermacetogenium
-genium (genium)	Thermohydrogenium
geometricum	Halogeometricum
glomus	Dictyoglomus
glomus	Graviglomus
glomus	Haloglomus
gonium	Agonium
gonium	Allogonium
gonium	Heterohormogonium
granulum	Dolosigranulum
granulum	Subdoligranulum
granum	Desulfogranum
granum	Halogranum
granum	Ignavigranum
granum	"Candidatus Methanogranum"
granum	Salinigranum
granum	Thiogranum
granum (granis)	Cyanogranis
lyticum	Bacteriolyticum
lyticum	Cellulosilyticum
lyticum	Chitinilyticum
lyticum	Lyticum
magnum	Methylomagnum
marinum	"Constantimarinum"
marinum	Methylomarinum
medium	"Candidatus Methanomedium"
microbium	Acetomicrobium
microbium	Acidiferrimicrobium
microbium	"Candidatus Acidifodinimicrobium"
microbium	Acidimicrobium
microbium	"Acidithiomicrobium"
microbium	Actimicrobium
microbium	Aeromicrobium
microbium	Aestuariimicrobium
microbium	"Algorimicrobium"
microbium	Alkalimicrobium
microbium	"Candidatus Alysiomicrobium"
microbium	Anaeromicrobium
microbium	"Candidatus Anammoximicrobium"
microbium	Ancalomicrobium
microbium	Angulomicrobium
microbium	Antarcticimicrobium
microbium	Anthropogastromicrobium
microbium	Aquamicrobium
microbium	Arenimicrobium
microbium	Aurantimicrobium
microbium	Brumimicrobium
microbium	Caenimicrobium
microbium	Caldimicrobium
microbium	Calidifontimicrobium
microbium	Capillimicrobium
microbium	Casimicrobium
microbium	Cellulosimicrobium
microbium	"Charonomicrobium"
microbium	Chryseomicrobium
microbium	"Citrimicrobium"
microbium	"Citromicrobium"
microbium	Confluentimicrobium
microbium	Croceimicrobium
microbium	"Candidatus Deferrimicrobium"
microbium	Desulfomicrobium
microbium	Dichotomicrobium
microbium	Dissulfurimicrobium
microbium	"Candidatus Elulimicrobium"
microbium	Elusimicrobium
microbium	"Candidatus Endomicrobium"
microbium	Endomicrobium
microbium	Erythromicrobium
microbium	Ferrimicrobium
microbium	[Ferromicrobium]
microbium	Filomicrobium
microbium	Gaetbulimicrobium
microbium	Gallintestinimicrobium
microbium	Geomicrobium
microbium	Geothermomicrobium
microbium	Haematomicrobium
microbium	Halomicrobium
microbium	[Halyseomicrobium]
microbium	"Candidatus Halysiomicrobium" corrig.
microbium	Heliomicrobium
microbium	Hyphomicrobium
microbium	Inconstantimicrobium
microbium	Kandeliimicrobium
microbium	Lacimicrobium
microbium	"Lactimicrobium"
microbium	Lentimicrobium
microbium	Litorimicrobium
microbium	Longimicrobium
microbium	Luteimicrobium
microbium	Lysinimicrobium
microbium	[Magnetomicrobium]
microbium	Marimicrobium
microbium	Marinimicrobium
microbium	"Candidatus Marinimicrobium"
microbium	Methanomicrobium
microbium	"Methylacidimicrobium"
microbium	Methylomicrobium
microbium	Methylotuvimicrobium
microbium	"Myxomicrobium"
microbium	"Candidatus Neomarinimicrobium" corrig.
microbium	Nucisporomicrobium
microbium	"Oceanomicrobium"
microbium	Ornithinimicrobium
microbium	Oryzomicrobium
microbium	Pedomicrobium
microbium	Pelomicrobium
microbium	Planctomicrobium
microbium	Planomicrobium
microbium	Pontimicrobium
microbium	Propionimicrobium
microbium	Prosthecomicrobium
microbium	Psychromicrobium
microbium	Rarimicrobium
microbium	Rhizomicrobium
microbium	Rhodomicrobium
microbium	Roseimicrobium
microbium	Rubellimicrobium
microbium	Rurimicrobium
microbium	Salimicrobium
microbium	Salinimicrobium
microbium	Scrofimicrobium
microbium	Sinomicrobium
microbium	Solimicrobium
microbium	Sphingomicrobium
microbium	Spongiimicrobium
microbium	Subsaximicrobium
microbium	Sulfurimicrobium
microbium	Tellurimicrobium
microbium	Tepidimicrobium
microbium	Terrimicrobium
microbium	Thalassorhabdomicrobium
microbium	Thermodesulfomicrobium
microbium	Thermoflavimicrobium
microbium	Thermomicrobium
microbium	"Thioalcalomicrobium"
microbium	Thioalkalimicrobium corrig.
microbium	"Candidatus Uabimicrobium" corrig.
microbium	Vaginimicrobium
microbium	Velocimicrobium
microbium	Verrucomicrobium
microbium	Xylanimicrobium
monile	Desulfomonile
morum	"Candidatus Magnetomorum"
mycelium	Longimycelium
natronum	Anoxynatronum
natronum	"Candidatus Cyclonatronum"
natronum	Desulfonatronum
natronum	Halonatronum
natronum	"Candidatus Syntrophonatronum"
natrum	Methylonatrum
nostoc	Nostoc
nostoc	[Rhodonostoc]
oleum	Aromatoleum
oscillum	Marinoscillum
ovulum	Albidovulum
ovulum	Catenovulum
ovulum	Fuscovulum
ovulum	Halovulum
ovulum	Luteovulum
ovulum	Methylovulum
ovulum	Phaeovulum
ovulum	Rhodovulum
ovulum	Thiovulum
ovum	Lactovum
ovum	"Candidatus Magnetoovum"
ovum	"Candidatus Magnetovum" corrig.
ovum	"Magnoovum"
ovum	Marinovum
ovum	Methylomarinovum
ovum	Pelagovum
ovum	Salinovum
ovum	Sulfurovum
ovum	Thermovum
ovum	Thiolamprovum
parvulum	"Rubeoparvulum"
parvum	Haloparvum
pelagi	"Nitropelagi"
-philium (philium)	Acidiphilium
-philum (philum)	Cysteiniphilum
-philum (philum)	Heliophilum
-philum (philum)	"Candidatus Methylacidiphilum"
-philum (philum)	"Candidatus Nucleiphilum" corrig.
-philum (philum)	"Candidatus Nucleophilum"
-philum (philum)	Proteiniphilum
-philum (philum)	Rhabdaerophilum
-philum (philum)	"Candidatus Rubrimentiphilum"
-philum (philum)	Thermoleophilum
podium	"Lophopodium"
profundum	"Candidatus Aciduliprofundum"
profundum	Thioprofundum
propionicum	[Syntrophopropionicum]
prunum	Desulfoprunum
pycnidium	Actinopycnidium
quadratum	Haloquadratum
rapulum	Desulforapulum
rubrum	"Halalkalirubrum"
rubrum	Halorubrum
rubrum	Methylorubrum
rubrum	Natronorubrum
rubrum	Salinirubrum corrig.
rubrum	"Candidatus Solirubrum"
salsum	Methanosalsum
sericum	Caldisericum
sericum	"Candidatus Cryosericum"
sphaerium	Coelosphaerium
spirillum	"Alkalispirillum"
spirillum	Anaerobiospirillum
spirillum	Aquaspirillum
spirillum	Azospirillum
spirillum	Caenispirillum
spirillum	"Dechlorospirillum"
spirillum	Dehalospirillum
spirillum	Desulfurispirillum
spirillum	"Gastrospirillum"
spirillum	[Geospirillum]
spirillum	Haematospirillum
spirillum	Herbaspirillum
spirillum	Insolitispirillum
spirillum	Leptospirillum
spirillum	"Levispirillum"
spirillum	Magnetospirillum
spirillum	Marinospirillum
spirillum	Marispirillum
spirillum	Methanospirillum
spirillum	Mucispirillum
spirillum	Natronospirillum
spirillum	Nitrospirillum
spirillum	Niveispirillum
spirillum	Novispirillum
spirillum	Oceanospirillum
spirillum	"Candidatus Puniceispirillum"
spirillum	Saccharospirillum
spirillum	Salinispirillum
spirillum	"Spirillum"
spirillum	Spirillum
spirillum	"Sporospirillum"
spirillum	Sulfurospirillum
spirillum	"Titanospirillum"
-sporum	Chrysosporum
stercora	"Massilistercora"
tectum	"Candidatus Sabulitectum"
tenue	Kallotenue
thalassium	Rhodothalassium
tignum	Actinotignum
tignum	Anaerotignum
tignum	Desulfotignum
tomaculum	Acetitomaculum
tomaculum	Desulfohalotomaculum
tomaculum	Desulfotomaculum
tomaculum	Pelotomaculum
tomaculum	Robiginitomaculum
tomaculum	Sporotomaculum
tomaculum	Thermotomaculum
trichum	Goniotrichum
trichum	Heliotrichum
trichum	"Xanthotrichum"
trichum	Xanthotrichum
trophicum	"Ferritrophicum"
vastum	Rhodovastum
venabulum	Thermovenabulum
verticillium	Streptoverticillium
