aceticus	Syntrophaceticus
bacter	Pseudarcobacter corrig.
bacter	Pseudoarcobacter
bacter	Pseudobacter
bacter	Pseudogluconobacter
bacter	Pseudoramibacter
bacter	Psychrobacter
bacter	Psychromarinibacter
bacter	Pulveribacter
bacter	Pusillibacter
bacter	Puteibacter
bacter	Putridiphycobacter
bacter	Pygmaiobacter
bacter	Pyramidobacter
bacter	Pyruvatibacter
bacter	Ramlibacter
bacter	Raoultibacter
bacter	Rarobacter
bacter	Rathayibacter
bacter	Ravibacter
bacter	Renobacter
bacter	Reticulibacter
bacter	Rhabdobacter
bacter	Rhabdonatronobacter
bacter	Rhizobacter
bacter	Rhodanobacter
bacter	Rhodobacter
bacter	Rhodocaloribacter
bacter	Rhodohalobacter
bacter	Rivibacter
bacter	Rodentibacter
bacter	Roseinatronobacter
bacter	Roseisolibacter
bacter	Roseobacter
bacter	Rubidibacter
bacter	Rubneribacter
bacter	Rubrobacter
bacter	Rudaibacter
bacter	Rufibacter
bacter	Rugosibacter
bacter	Ruminobacter
bacter	Ruminofilibacter
bacter	Sabulibacter
bacter	Sabulilitoribacter
bacter	Saccharibacter
bacter	Saccharobacter
bacter	Salegentibacter
bacter	Salibacter
bacter	Salicibibacter
bacter	Salifodinibacter
bacter	Salilacibacter
bacter	Salimesophilobacter
bacter	Salinibacter
bacter	Salsipaludibacter
bacter	Sandaracinobacter
bacter	Sangeribacter
bacter	Sanguibacter
bacter	Saxeibacter
bacter	Scatolibacter
bacter	Sedimentibacter
bacter	Sediminibacter
bacter	Segetibacter
bacter	Selenihalanaerobacter
bacter	Serinibacter
bacter	Sessilibacter
bacter	Siccibacter
bacter	Silicibacter
bacter	Sinanaerobacter
bacter	Sinisalibacter
bacter	Sinobacter
bacter	Siphonobacter
bacter	Specibacter
bacter	Spelaeibacter
bacter	Sphaerobacter
bacter	Sphingosinithalassobacter
bacter	Spiribacter
bacter	Spodiobacter
bacter	Spongiibacter
bacter	Sporanaerobacter
bacter	Sporobacter
bacter	Sporohalobacter
bacter	Stenothermobacter
bacter	Stenotrophobacter
bacter	Stenoxybacter
bacter	Steroidobacter
bacter	Stibiobacter
bacter	Subsaxibacter
bacter	Sufflavibacter
bacter	Sulfidibacter
bacter	Sulfitobacter
bacter	Superficieibacter
bacter	Syntrophobacter
bacter	Tahibacter
bacter	Tamilnaduibacter
bacter	Tardibacter
bacter	Taxeobacter
bacter	Tectibacter
bacter	Telluribacter
bacter	Telmatobacter
bacter	Temperatibacter
bacter	Tenebrionibacter
bacter	Tengunoibacter
bacter	Tepidanaerobacter
bacter	Tepidibacter
bacter	Teredinibacter
bacter	Terrabacter
bacter	Terrimesophilobacter
bacter	Terrisporobacter
bacter	Testudinibacter
bacter	Tetrathiobacter
bacter	Thalassobacter
bacter	Thermaerobacter
bacter	Thermoanaerobacter
bacter	Thermoflexibacter
bacter	Thermohalobacter
bacter	Thermolithobacter
bacter	Thermophilibacter
bacter	Thermosediminibacter
bacter	Thermosulfidibacter
bacter	Thioalkalibacter
bacter	Thiobacter
bacter	Thiohalobacter
bacter	Thiosulfatihalobacter
bacter	Tidjanibacter
bacter	Tractidigestivibacter
bacter	Trichlorobacter
bacter	Tritonibacter
bacter	Tropicibacter
bacter	Turicibacter
bacter	Ulvibacter
bacter	Umboniibacter
bacter	Undibacter
bacter	Ursidibacter
bacter	Usitatibacter
bacter	Variibacter
bacter	Variimorphobacter
bacter	Venatorbacter
bacter	Verminephrobacter
bacter	Vespertiliibacter
bacter	Vicinamibacter
bacter	Vineibacter
bacter	Vitellibacter
bacter	Volucribacter
bacter	Vulgatibacter
bacter	Wukongibacter
bacter	Xanthobacter
bacter	Xylanibacter
bacter	Youngiibacter
bacter	Zeaxanthinibacter
bacter	Zymobacter
bellus	Halobellus
bellus	Maribellus
botulus	Desulfobotulus
botulus	Syntrophobotulus
bulbus	Candidatus Desulfonatronobulbus
bulbus	Desulfobulbus
bulbus	Oceanibulbus
calculus	Halocalculus
calculus	Methanocalculus
calculus	Natronocalculus
caldus	Acidicaldus
caldus	Candidatus Nitrosocaldus
calyx	Chamaecalyx
calyx	Diplocalyx
capillus	Capillus
capsulatus	Encapsulatus
captor	Cruoricaptor
carbo	Desulfocarbo
caulis	Alkalicaulis
caulis	Asticcacaulis
caulis	Candidatus Bipolaricaulis
caulis	Euryhalocaulis
caulis	Glycocaulis
caulis	Maricaulis
caulis	Marinicaulis
caulis	Oceanicaulis
caulis	Photocaulis
caulis	Ponticaulis
caulis	Sulfuricaulis
caulis	Tepidicaulis
caulis	Terricaulis
causticus	Thylacocausticus
-clasticus (clasticus)	Cycloclasticus
coccus	"Candidatus Nucleicoccus" corrig.
coccus	Absicoccus
coccus	Abyssicoccus
coccus	Acidaminococcus
coccus	Acuticoccus
coccus	Aegeococcus
coccus	Aerococcus
coccus	Aestuariicoccus
coccus	Aggregicoccus
coccus	Agilicoccus
coccus	Agitococcus
coccus	Agrococcus
coccus	Albococcus
coccus	Algicoccus
coccus	Aliicoccus
coccus	Alkalicoccus
coccus	Alloiococcus
coccus	Alterococcus
coccus	Amaricoccus
coccus	Amycolicicoccus
coccus	Anaerococcus
coccus	Angiococcus
coccus	Antricoccus
coccus	Aplococcus
coccus	Aquicoccus
coccus	Arachidicoccus
coccus	Arboricoccus corrig.
coccus	Arsenicicoccus
coccus	Ascococcus
coccus	Asterococcus
coccus	Atopococcus
coccus	Auraticoccus
coccus	Aureicoccus
coccus	Auricoccus
coccus	Bavariicoccus
coccus	Betacoccus
coccus	Bilophococcus
coccus	Blastococcus
coccus	Brevicoccus
coccus	Butyricicoccus
coccus	Caldococcus
coccus	Candidatus Absconditicoccus
coccus	Candidatus Magnetaquicoccus
coccus	Candidatus Nanosyncoccus
coccus	Candidatus Nucleococcus
coccus	Candidatus Pinguicoccus
coccus	Candidatus Prosiliicoccus
coccus	Candidatus Velamenicoccus
coccus	Carnococcus
coccus	Catellicoccus
coccus	Catenococcus
coccus	Cephaloticoccus
coccus	Cerasicoccus
coccus	Chelatococcus
coccus	Chondrococcus
coccus	Chroococcus
coccus	Citreicoccus
coccus	Citricoccus
coccus	Closteriococcus
coccus	Compactococcus
coccus	Coprococcus
coccus	Corallococcus
coccus	Corticicoccus
coccus	Craurococcus
coccus	Crenalkalicoccus
coccus	Croceicoccus
coccus	Cyanococcus
