aceticus	Syntrophaceticus
bacter	Frondibacter
bacter	[Fucobacter]
bacter	Fulvibacter
bacter	Fundibacter
bacter	"Fuscibacter"
bacter	Fusibacter
bacter	Fusicatenibacter
bacter	Gabonibacter
bacter	Gaetbulibacter
bacter	Galactobacter
bacter	"Candidatus Galacturonatibacter" corrig.
bacter	"Candidatus Galacturonibacter"
bacter	Galbibacter
bacter	Gallibacter
bacter	Gelidibacter
bacter	Gemmobacter
bacter	Geoalkalibacter
bacter	Geoanaerobacter
bacter	Geobacter
bacter	Geomesophilobacter
bacter	"Geomobilibacter"
bacter	Geopsychrobacter
bacter	Geosporobacter
bacter	Geothermobacter
bacter	Gilvibacter
bacter	"Ginsengibacter"
bacter	Glaciibacter
bacter	Gloeobacter
bacter	"Candidatus Glomeribacter"
bacter	"Glucerabacter"
bacter	Gluconobacter
bacter	Glutamicibacter
bacter	Gordonibacter
bacter	Gracilibacter
bacter	Granulibacter
bacter	[Granulobacter]
bacter	Gulosibacter
bacter	Haematobacter
bacter	"Haererehalobacter"
bacter	Halalkalibacter
bacter	Halanaerobacter corrig.
bacter	Halarcobacter corrig.
bacter	Halarsenatibacter
bacter	"Candidatus Halichondribacter"
bacter	"Candidatus Halichondriibacter" corrig.
bacter	Haliscomenobacter
bacter	Haloanaerobacter
bacter	Haloarcobacter
bacter	"Halobacter"
bacter	Halocynthiibacter
bacter	Haloflavibacter
bacter	Hartmannibacter
bacter	Hasllibacter
bacter	Helicobacter
bacter	"Candidatus Hepatobacter"
bacter	"Hevizibacter"
bacter	Homoserinibacter
bacter	"Candidatus Houarnoksidobacter"
bacter	Huaxiibacter
bacter	Humibacter
bacter	Hydrobacter
bacter	Hydrogenobacter
bacter	"Candidatus Hydrogenosomobacter"
bacter	Hymenobacter
bacter	Hypericibacter
bacter	"Hyphobacter"
bacter	"Candidatus Ignotibacter" corrig.
bacter	"Ihubacter"
bacter	Ilumatobacter
bacter	Ilyobacter
bacter	Immundisolibacter
bacter	Imperialibacter
bacter	Indibacter
bacter	Intestinibacter
bacter	Iodobacter
bacter	Irregularibacter
bacter	Janibacter
bacter	"Jejubacter"
bacter	"Candidatus Jidaibacter"
bacter	Jinshanibacter
bacter	Jiulongibacter
bacter	[Kaistobacter]
bacter	Ketobacter
bacter	Koleobacter
bacter	"Komagatabacter"
bacter	Komagataeibacter
bacter	"Konateibacter"
bacter	Koreibacter
bacter	"Candidatus Koribacter"
bacter	[Korobacter]
bacter	Krokinobacter
bacter	"Candidatus Kryptobacter"
bacter	Ktedobacter
bacter	Ktedonobacter corrig.
bacter	Ktedonosporobacter
bacter	Labilibacter
bacter	Lacibacter
bacter	Lamprobacter
bacter	Laribacter
bacter	"Candidatus Latescibacter"
bacter	Lawsonibacter
bacter	Lentibacter
bacter	Lentihominibacter
bacter	Lentilitoribacter
bacter	Leucobacter
bacter	Liberibacter
bacter	"Candidatus Liberobacter"
bacter	Limibacter
bacter	Limnobacter
bacter	Limoniibacter
bacter	Litoreibacter
bacter	Litoribacter
bacter	Litoribrevibacter
bacter	Longibacter
bacter	Lunatibacter
bacter	Luteibacter
bacter	Luteithermobacter
bacter	Luteolibacter
bacter	Lutibacter
bacter	Lutimaribacter
bacter	"Luxibacter"
bacter	Lysinibacter
bacter	Lysobacter
bacter	Mabikibacter
bacter	Malaciobacter corrig.
bacter	Malacobacter
bacter	Maledivibacter
bacter	Mangrovibacter
bacter	Maribacter
bacter	"Marinilongibacter"
bacter	Marinisporobacter
bacter	Marinobacter
bacter	Maripseudobacter
bacter	Maritimibacter
bacter	"Marseillibacter"
bacter	Mediterraneibacter
bacter	Melioribacter
bacter	"Merdibacter"
bacter	"Merdibacter"
bacter	"Mergibacter"
bacter	Meridianimaribacter
bacter	Mesocricetibacter
bacter	Mesoflavibacter
bacter	Mesohalobacter
bacter	[Mesopelagibacter]
bacter	Mesophilobacter
bacter	Methanobrevibacter
bacter	Methanothermobacter
bacter	Methylobacter
bacter	Methyloceanibacter
bacter	Microaerobacter
bacter	Microbacter
bacter	Miniphocaeibacter corrig.
bacter	Miniphocibacter
bacter	"Miniphocibacter"
bacter	Mizugakiibacter
bacter	"Candidatus Moanibacter" corrig.
bacter	Mobilisporobacter
bacter	Modestobacter
bacter	Modicisalibacter
bacter	Moheibacter
bacter	Mongoliibacter
bacter	"Candidatus Monilibacter"
bacter	Motilibacter
bacter	Mucibacter
bacter	Mucilaginibacter
bacter	Muribacter
bacter	Mycolicibacter
bacter	"Myxobacter"
bacter	"Candidatus Nanosynbacter"
bacter	"Natronohydrobacter"
bacter	Naxibacter
bacter	"Ndongobacter"
bacter	"Candidatus Nebulibacter" corrig.
bacter	"Candidatus Nebulobacter"
bacter	Necropsobacter
bacter	"Neglectibacter"
bacter	Neptuniibacter
bacter	"Candidatus Nesciobacter"
bacter	Nesiotobacter
bacter	Nguyenibacter
bacter	"Niameybacter"
bacter	Nibribacter
bacter	"Nissabacter"
bacter	Nitrobacter
bacter	Nitrogeniibacter
bacter	Notoacmeibacter
bacter	"Candidatus Obscuribacter"
bacter	Occallatibacter
bacter	"Candidatus Occultibacter" corrig.
bacter	"Candidatus Occultobacter"
bacter	Oceanobacter
bacter	Octadecabacter
bacter	Odoribacter
bacter	Oecophyllibacter
bacter	Oharaeibacter
bacter	Oleibacter
bacter	Oleisolibacter
bacter	Olivibacter
bacter	"Candidatus Opimibacter"
